Performance_Date,Genre,Band_Name,Venue_Name,State_Abbr,City,TotalRev
4/23/2013,Pop,The Rebellious Fusion                                                                               ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4041.87
4/25/2013,Classical,Kiss The Satire                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,4005.32
4/27/2013,,The Khatri Cartel                                                                                   ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,3055.86
4/29/2013,Rock,Suman Sawhney                                                                                       ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,9372.87
4/29/2013,Jazz,The Boring Satires                                                                                  ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,7022.79
4/29/2013,Rock,The Languid Group                                                                                   ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,2321.07
5/2/2013,,The Data Gamble                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,38538.79
5/4/2013,Jazz,Cowardly Galaxy                                                                                     ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,2858.38
5/4/2013,Rap,Indira Kumar                                                                                        ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,9357.4
5/8/2013,Rock,Suman Sawhney                                                                                       ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,31588.41
5/9/2013,,Beena And The Galaxies                                                                              ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2271.37
5/10/2013,Jazz,The Metal A-Bombs                                                                                   ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,6131.96
5/10/2013,Rock,The Painful Story                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,9205.51
5/12/2013,Classical,Save The Society                                                                                    ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,6172.89
5/14/2013,Rap,Invalid Agent                                                                                       ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,7153.53
5/15/2013,Rock,Honorable Naoko                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,9610.9
5/17/2013,Rock,Gladden The Storm                                                                                   ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,5310.03
5/19/2013,Jazz,Callous Alien                                                                                       ,Grace's                                                                                             ,Texas,Garland                                           ,4743.09
5/20/2013,Rock,The Languid Group                                                                                   ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,6013.51
5/23/2013,Rap,Rabid Mendoza                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,30171.91
12/4/2012,Gospel,The Watson Players                                                                                  ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,1271.04
12/7/2012,Classical,Bash The Train                                                                                      ,Dorothy's                                                                                           ,CA,Redwood City                                      ,9394.53
12/9/2012,Pop,Sara Diaz                                                                                           ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,7933.57
12/10/2012,Rap,Rabid Mendoza                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,1422.47
12/19/2012,Classical,Capricious Revelation                                                                               ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1489.59
12/26/2012,Classical,The Aoki Experiment                                                                                 ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3131.05
12/29/2012,Jazz,Naoko Yamada                                                                                        ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,1002.2
1/7/2013,,The Savant Posse                                                                                    ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,3675.55
1/8/2013,Gospel,The Sage Players                                                                                    ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,5210.3
1/10/2013,Rock,The Morales Group                                                                                   ,Dorothy's                                                                                           ,CA,Redwood City                                      ,2808.18
1/11/2013,Pop,Gang Wang                                                                                           ,Tadashi's                                                                                           ,CA,San Jose                                          ,3354.12
1/18/2013,Rap,Needless Meadow                                                                                     ,Tadashi's                                                                                           ,CA,San Jose                                          ,23432.67
1/20/2013,,Crooked Elena                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,8146.75
1/25/2013,Pop,Lakshmi And The Altars                                                                              ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,5325.32
1/25/2013,Gospel,The Data Posse                                                                                      ,Dorothy's                                                                                           ,CA,Redwood City                                      ,6073.54
1/27/2013,Classical,Hurt The Abstraction                                                                                ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7410.26
1/31/2013,Jazz,Kazumi Suzuki                                                                                       ,Hiroki's                                                                                            ,LA,Maurepas                                          ,9121.28
1/31/2013,Pop,Sara Diaz                                                                                           ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4505.57
2/8/2013,,Sad Street                                                                                          ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,1379
2/8/2013,Gospel,The Data Posse                                                                                      ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,48638.43
2/10/2013,Rap,Indira Kumar                                                                                        ,Tadashi's                                                                                           ,CA,San Jose                                          ,8770.24
2/11/2013,Classical,Hurt The Abstraction                                                                                ,Yukiko's                                                                                            ,CA,Santee                                            ,80709.41
5/23/2013,,The Data Gamble                                                                                     ,Tadashi's                                                                                           ,CA,San Jose                                          ,1085.08
5/26/2013,Rap,The Lucky Grounds                                                                                   ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,7267.86
5/26/2013,Gospel,Vidya And The Beings                                                                                ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,4044.01
5/27/2013,,Utopian Future                                                                                      ,Grace's                                                                                             ,Texas,Garland                                           ,31196.75
5/28/2013,Classical,Bash The Train                                                                                      ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,11885.05
6/2/2013,,Beena And The Galaxies                                                                              ,Dorothy's                                                                                           ,CA,Redwood City                                      ,3487.25
6/5/2013,Rap,Barbarous Smith                                                                                     ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,8564.61
6/8/2013,,Cry The Agent                                                                                       ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,8415.55
6/10/2013,Classical,Michael Clark                                                                                       ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,6268.95
6/13/2013,Pop,The Giddy Shakespeares                                                                              ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,6081.34
6/14/2013,,Scandalous Peng                                                                                     ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,2445.63
6/16/2013,Gospel,Ryo Hayashi                                                                                         ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,3006.15
6/18/2013,Gospel,The Naive Loves                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,98964.98
6/21/2013,Rap,Bizarre File                                                                                        ,Dorothy's                                                                                           ,CA,Redwood City                                      ,1818.11
6/22/2013,Classical,The Cowardly Data                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,33600.67
6/23/2013,Pop,The Craven Televisions                                                                              ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,60757.41
6/23/2013,Classical,Thomas Smith                                                                                        ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,2102.56
6/24/2013,Rap,Kaori Yoshida                                                                                       ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,4883.82
6/24/2013,,Kiyoshi And The Data                                                                                ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,6039.76
6/28/2013,Classical,Lethal Riku                                                                                         ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3921.33
6/29/2013,Gospel,Ryo Hayashi                                                                                         ,Tadashi's                                                                                           ,CA,San Jose                                          ,4931.37
6/29/2013,Classical,Zealous A-Bomb                                                                                      ,Tadashi's                                                                                           ,CA,San Jose                                          ,6268.39
2/12/2013,,Crooked Elena                                                                                       ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,55790.82
2/12/2013,Rock,Glide The Abstraction                                                                               ,Yukiko's                                                                                            ,CA,Santee                                            ,5386.87
2/13/2013,Gospel,The Naive Loves                                                                                     ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,2128.18
2/15/2013,Pop,Erase The Future                                                                                    ,Dorothy's                                                                                           ,CA,Redwood City                                      ,6045.6
2/16/2013,,Liang And The Fields                                                                                ,Yukiko's                                                                                            ,CA,Santee                                            ,3478.35
2/16/2013,,The Enchanting Presents                                                                             ,Yukiko's                                                                                            ,CA,Santee                                            ,6494.21
2/17/2013,,Pablo Rios                                                                                          ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,1464.76
2/19/2013,Gospel,Begin The Meadow                                                                                    ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,4348.31
2/19/2013,,The World Players                                                                                   ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,84005.88
2/23/2013,Classical,Hurt The Abstraction                                                                                ,Grace's                                                                                             ,Texas,Garland                                           ,5009.93
2/23/2013,,Sofia Moreno                                                                                        ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,8686.01
2/23/2013,Rap,The Heart Posse                                                                                     ,Dorothy's                                                                                           ,CA,Redwood City                                      ,8134.25
2/23/2013,,The Illegal Einsteins                                                                               ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,6721.08
2/27/2013,,Lyrical Gutierrez                                                                                   ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,5594.86
2/27/2013,,The Khatri Cartel                                                                                   ,Tadashi's                                                                                           ,CA,San Jose                                          ,4123.98
3/5/2013,Rap,Languid Fumiko                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,9859.57
3/5/2013,Classical,The Wretched Meadows                                                                                ,Grace's                                                                                             ,Texas,Garland                                           ,1250.17
3/8/2013,,The Lin Experiment                                                                                  ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,3664.58
3/13/2013,,Osamu And The Salvations                                                                            ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,2958.51
3/15/2013,Classical,Lethal Riku                                                                                         ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,2260.37
9/13/2006,Rock,Suman Sawhney                                                                                       ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,84813.23
9/14/2006,Jazz,Jacob Watson                                                                                        ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,5459.67
9/19/2006,,Ayaka And The Presents                                                                              ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,3624.58
9/21/2006,Rap,Madison Morison                                                                                     ,Yukiko's                                                                                            ,CA,Santee                                            ,4582.08
9/25/2006,Classical,Wealthy Bao                                                                                         ,Yukiko's                                                                                            ,CA,Santee                                            ,6154.8
9/27/2006,,Crooked Elena                                                                                       ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,9457.36
9/29/2006,Gospel,Kazuki And The Shakespeares                                                                         ,Hiroki's                                                                                            ,LA,Maurepas                                          ,1584.22
10/4/2006,,Sofia Moreno                                                                                        ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,7519.4
10/4/2006,Rock,The Ignorant Streets                                                                                ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,3539.94
10/6/2006,,Taylor Johnson                                                                                      ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4126.26
10/16/2006,Pop,The Beautiful Group                                                                                 ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,6499.71
10/19/2006,Classical,Forbid The Data                                                                                     ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3784.35
10/23/2006,,Miguel Mendoza                                                                                      ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,2708.4
10/24/2006,,The Enchanting Presents                                                                             ,Yukiko's                                                                                            ,CA,Santee                                            ,5744.87
10/24/2006,,The Savant Posse                                                                                    ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1188.98
10/25/2006,Classical,Wealthy Bao                                                                                         ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1108.96
11/1/2006,Rock,Steal The Eminence                                                                                  ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,9008.82
11/9/2006,Jazz,Bashful Macdonald                                                                                   ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,3835.21
11/16/2006,,The Aggarwal Group                                                                                  ,Dorothy's                                                                                           ,CA,Redwood City                                      ,5011.63
11/20/2006,Classical,Forbid The Data                                                                                     ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,99605.93
11/26/2006,Rap,Madison Morison                                                                                     ,Grace's                                                                                             ,Texas,Garland                                           ,82222.41
11/28/2006,Rap,Bao Guo                                                                                             ,Hiroki's                                                                                            ,LA,Maurepas                                          ,5633.39
11/30/2006,Classical,Righteous Kazumi                                                                                    ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,9025.17
11/30/2006,Pop,The Beautiful Group                                                                                 ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,5421.51
12/3/2006,,Cai Zhang                                                                                           ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,1837.76
12/11/2006,,The Lucky Group                                                                                     ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,5426.35
12/15/2006,Rap,Ju Zhao                                                                                             ,Grace's                                                                                             ,Texas,Garland                                           ,1515.29
12/17/2006,Rock,The Ignorant Streets                                                                                ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,3599.91
12/19/2006,Pop,The Beautiful Group                                                                                 ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,2281.28
12/30/2006,Jazz,Gladden The Doom                                                                                    ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,5689.5
1/1/2007,Classical,Righteous Kazumi                                                                                    ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1035.39
1/5/2007,Rap,Ordinary Honor                                                                                      ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,10198.15
1/6/2007,Pop,Erase The Future                                                                                    ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,43572.96
1/7/2007,Classical,Zealous A-Bomb                                                                                      ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3645.13
1/12/2007,Gospel,Kazuki And The Shakespeares                                                                         ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,2980.9
1/13/2007,Classical,Ambitious Chen                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1824.33
1/27/2007,Jazz,Wicked Brandon                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7126.66
1/29/2007,Pop,Chiyoko Yoshida                                                                                     ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1934.96
1/31/2007,,The Venomous Disaster                                                                               ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,6541.86
2/1/2007,Jazz,Vagabond Peng                                                                                       ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1075.27
2/3/2007,Classical,Zealous A-Bomb                                                                                      ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1268.99
2/6/2007,,Crash The Drug                                                                                      ,Grace's                                                                                             ,Texas,Garland                                           ,9641.64
2/9/2007,Pop,The Beautiful Group                                                                                 ,Yukiko's                                                                                            ,CA,Santee                                            ,5382.96
2/9/2007,Classical,Tyler Clark                                                                                         ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,2057.23
3/5/2007,Rock,Gladden The Storm                                                                                   ,Dorothy's                                                                                           ,CA,Redwood City                                      ,6836.13
3/9/2007,Rap,Mindless Aguilar                                                                                    ,Yukiko's                                                                                            ,CA,Santee                                            ,4673.14
3/10/2007,Rock,Suman Sawhney                                                                                       ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2030.02
3/12/2007,Pop,Callous Tomas                                                                                       ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,4362.27
3/25/2007,Pop,Vivacious Saigal                                                                                    ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,6451.55
3/29/2007,Pop,Guo Gao                                                                                             ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,2086.68
3/29/2007,Classical,The Aoki Experiment                                                                                 ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,7573.1
3/30/2007,Pop,Gang Wang                                                                                           ,Hiroki's                                                                                            ,LA,Maurepas                                          ,5237.96
3/30/2007,Rock,Linda Wilson                                                                                        ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,4491.15
3/31/2007,Gospel,The Watson Players                                                                                  ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,34447.02
4/1/2007,Jazz,The Metal A-Bombs                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,4067.21
4/3/2007,Jazz,Cowardly Galaxy                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1154.71
4/4/2007,,Lyrical Gutierrez                                                                                   ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,6984.27
4/4/2007,Pop,The Tame Kings                                                                                      ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,9293.02
4/6/2007,,Elated Ambition                                                                                     ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,5606.29
4/11/2007,Pop,Guo Gao                                                                                             ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,6364.12
4/21/2007,Gospel,Begin The Meadow                                                                                    ,Tadashi's                                                                                           ,CA,San Jose                                          ,6517.02
4/22/2007,Classical,Blame The Love                                                                                      ,Tadashi's                                                                                           ,CA,San Jose                                          ,3160.05
4/27/2007,,Pastoral Suzuki                                                                                     ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,84428.61
4/28/2007,Jazz,Thomas Murray                                                                                       ,Yukiko's                                                                                            ,CA,Santee                                            ,47801.58
4/29/2007,Jazz,Vagabond Peng                                                                                       ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,44988.98
5/3/2007,Rock,Glide The Abstraction                                                                               ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,6606.48
5/6/2007,Jazz,Thomas Murray                                                                                       ,Hiroki's                                                                                            ,LA,Maurepas                                          ,1186.75
5/6/2007,Classical,Tyler Clark                                                                                         ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,72784.54
5/7/2007,Classical,Modern John                                                                                         ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,7944.53
5/10/2007,,Pastoral Suzuki                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,7472.82
5/11/2007,Rap,Languid Fumiko                                                                                      ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,7058.33
5/18/2007,Pop,Internal Govind                                                                                     ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,87835.16
5/19/2007,Pop,Faulty Ground                                                                                       ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,90370.8
5/19/2007,Jazz,The Resolute Fools                                                                                  ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,5298.94
5/20/2007,Rap,The Habitual Agents                                                                                 ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1160.03
6/7/2007,Pop,Vivacious Saigal                                                                                    ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,43238.73
6/10/2007,Pop,Manjula Das                                                                                         ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2112.04
6/11/2007,Rock,Glide The Abstraction                                                                               ,Tadashi's                                                                                           ,CA,San Jose                                          ,2805.63
